date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,4319,4319,0
17/1/2021,4319,4319,0
18/1/2021,7968,7968,0
19/1/2021,12902,12902,0
20/1/2021,12902,12902,0
21/1/2021,18844,18844,0
22/1/2021,18844,18844,0
23/1/2021,25811,25811,0
24/1/2021,25811,25811,0
25/1/2021,33219,33219,0
26/1/2021,33219,33219,0
27/1/2021,39764,39764,0
28/1/2021,48008,48008,0
29/1/2021,48008,48008,0
30/1/2021,56818,56818,0
31/1/2021,56818,56818,0
1/2/2021,64711,64711,0
2/2/2021,74068,74068,0
3/2/2021,81433,81433,0
4/2/2021,90927,90927,0
5/2/2021,100079,100079,0
6/2/2021,109589,109589,0
7/2/2021,109589,109589,0
8/2/2021,119329,119329,0
9/2/2021,132046,132046,0
10/2/2021,146789,146789,0
11/2/2021,162596,162596,0
12/2/2021,177439,177439,0
13/2/2021,191207,189351,1856
14/2/2021,191207,189351,1856
15/2/2021,206172,202125,4047
16/2/2021,221225,214646,6579
17/2/2021,236562,228911,7651
18/2/2021,260979,249791,11188
19/2/2021,285300,272322,12978
20/2/2021,311410,294081,17329
21/2/2021,311410,294081,17329
22/2/2021,338629,315841,22788
23/2/2021,359095,334333,24762
24/2/2021,377694,348669,29025
25/2/2021,396639,362072,34567
26/2/2021,409959,372906,37053
27/2/2021,409959,372906,37053
28/2/2021,409959,372906,37053
1/3/2021,425480,385341,40139
2/3/2021,446757,402942,43815
3/3/2021,471811,423800,48011
4/3/2021,499770,446950,52820
5/3/2021,526827,468847,57980
6/3/2021,560074,494939,65135
7/3/2021,560074,494939,65135
8/3/2021,595812,523361,72451
9/3/2021,630051,549097,80954
10/3/2021,660991,571616,89375
11/3/2021,690432,593382,97050
12/3/2021,721007,614404,106603
13/3/2021,760860,643787,117073
14/3/2021,760860,643787,117073
15/3/2021,800602,673477,127125
16/3/2021,839039,700600,138439
17/3/2021,867433,719872,147561
18/3/2021,907997,746426,161571
19/3/2021,937496,764919,172577
