date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,5907,5907,0
17/1/2021,5907,5907,0
18/1/2021,17642,17642,0
19/1/2021,28771,28771,0
20/1/2021,30402,30402,0
21/1/2021,45893,45893,0
22/1/2021,62142,62142,0
23/1/2021,71297,71297,0
24/1/2021,72204,72204,0
25/1/2021,105419,105419,0
26/1/2021,105419,105419,0
27/1/2021,109782,109782,0
28/1/2021,115968,115968,0
29/1/2021,123935,123935,0
30/1/2021,125898,125898,0
31/1/2021,125977,125977,0
1/2/2021,126759,126759,0
2/2/2021,127893,127893,0
3/2/2021,129866,129866,0
4/2/2021,133637,133637,0
5/2/2021,137706,137706,0
6/2/2021,139068,139068,0
7/2/2021,139129,139129,0
8/2/2021,169055,169055,0
9/2/2021,180663,180663,0
10/2/2021,183529,183529,0
11/2/2021,190390,190390,0
12/2/2021,194124,194124,0
13/2/2021,196333,195745,588
14/2/2021,196352,195764,588
15/2/2021,204984,201007,3977
16/2/2021,205871,201098,4773
17/2/2021,209684,201675,8009
18/2/2021,220266,203766,16500
19/2/2021,226709,205616,21093
20/2/2021,232295,208308,23987
21/2/2021,232295,208308,23987
22/2/2021,255613,213802,41811
23/2/2021,268853,215743,53110
24/2/2021,271497,216422,55075
25/2/2021,289033,220672,68361
26/2/2021,293824,221841,71983
27/2/2021,293824,221841,71983
28/2/2021,293824,221841,71983
1/3/2021,299672,225281,74391
2/3/2021,308375,231579,76796
3/3/2021,314562,236507,78055
4/3/2021,333415,251481,81934
5/3/2021,353760,268976,84784
6/3/2021,364996,278910,86086
7/3/2021,365652,279531,86121
8/3/2021,398307,306498,91809
9/3/2021,432755,332536,100219
10/3/2021,451769,348452,103317
11/3/2021,461696,357300,104396
12/3/2021,501916,391275,110641
13/3/2021,520425,408138,112287
14/3/2021,522363,409956,112407
15/3/2021,681427,559746,121681
16/3/2021,748896,623504,125392
17/3/2021,763095,636594,126501
18/3/2021,831953,702840,129113
