date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,9279,9279,0
17/1/2021,9279,9279,0
18/1/2021,23546,23546,0
19/1/2021,32379,32379,0
20/1/2021,32379,32379,0
21/1/2021,32379,32379,0
22/1/2021,43947,43947,0
23/1/2021,67270,67270,0
24/1/2021,93525,93525,0
25/1/2021,161116,161116,0
26/1/2021,161332,161332,0
27/1/2021,237137,237137,0
28/1/2021,257833,257833,0
29/1/2021,324973,324973,0
30/1/2021,329611,329611,0
31/1/2021,330797,330797,0
1/2/2021,333930,333930,0
2/2/2021,339218,339218,0
3/2/2021,363521,363521,0
4/2/2021,384810,384810,0
5/2/2021,414422,414422,0
6/2/2021,459652,459652,0
7/2/2021,460994,460994,0
8/2/2021,487848,487848,0
9/2/2021,491543,491543,0
10/2/2021,559990,559990,0
11/2/2021,590990,590990,0
12/2/2021,606694,606694,0
13/2/2021,609568,609568,0
14/2/2021,610088,610088,0
15/2/2021,627710,618919,8791
16/2/2021,637021,622374,14647
17/2/2021,760075,744741,15334
18/2/2021,762913,747420,15493
19/2/2021,799719,780665,19054
20/2/2021,821059,782701,38358
21/2/2021,821059,782701,38358
22/2/2021,844893,782710,62183
23/2/2021,878043,783205,94838
24/2/2021,931222,783652,147570
25/2/2021,950386,797900,152486
26/2/2021,1023207,798447,224760
27/2/2021,1023207,798447,224760
28/2/2021,1023207,798447,224760
1/3/2021,1109553,863992,245561
2/3/2021,1261773,1005225,256548
3/3/2021,1490232,1220438,269794
4/3/2021,1609343,1326074,283269
5/3/2021,1891118,1585089,306029
6/3/2021,2131443,1802425,329018
7/3/2021,2136249,1806825,329424
8/3/2021,2326975,1979962,347013
9/3/2021,2387797,2019948,367849
10/3/2021,2510918,2102124,408794
11/3/2021,2511418,2102606,408812
12/3/2021,2698263,2258451,439812
13/3/2021,2894730,2436818,457912
14/3/2021,2898900,2440682,458218
15/3/2021,3105252,2633236,472016
16/3/2021,3347703,2862220,485483
17/3/2021,3684843,3092635,592208
18/3/2021,3738737,3131450,607287
